genotype,primordium_id,source_file,cell_1_id,cell_2_id,pair_centroid_x,pair_centroid_y,x_norm,y_norm,region,angle,junction_angle_mean
rpl4d-3,rpl4d-3__4.5d-rpl4d-3-2-polygonal-network,4.5d-rpl4d-3-2-polygonal-network.json,39,46,479.189478,763.2065210000001,0.4873786672430981,0.6990420212794362,apical,82.45565141685793,164.641084
rpl4d-3,rpl4d-3__4.5d-rpl4d-3-2-polygonal-network,4.5d-rpl4d-3-2-polygonal-network.json,42,43,320.639198,779.1238265,0.03203283490557178,0.7229023285279185,apical,38.21699814689723,162.587523
rpl4d-3,rpl4d-3__4.5d-rpl4d-3-2-polygonal-network,4.5d-rpl4d-3-2-polygonal-network.json,44,50,365.015983,826.0839635,0.1594800024683692,0.793296359556024,apical,75.69187491107404,157.502182
rpl4d-3,rpl4d-3__4.5d-rpl4d-3-2-polygonal-network,4.5d-rpl4d-3-2-polygonal-network.json,47,54,576.026692,865.864075,0.7654886889351264,0.8529274122344368,apical,77.76099719529728,161.031678
rpl4d-3,rpl4d-3__4.5d-rpl4d-3-2-polygonal-network,4.5d-rpl4d-3-2-polygonal-network.json,48,52,418.607089,844.98228,0.3133900855502697,0.8216252521672178,apical,80.16477691907296,161.495937
rpl4d-3,rpl4d-3__4.5d-rpl4d-3-2-polygonal-network,4.5d-rpl4d-3-2-polygonal-network.json,53,60,607.385076,922.0021085,0.8555478768674326,0.9370792636665528,apical,75.72891533569049,167.430242
rpl4d-3,rpl4d-3__4.5d-rpl4d-3-2-polygonal-network,4.5d-rpl4d-3-2-polygonal-network.json,55,62,381.0907595,937.096022,0.20564568874172173,0.9597052925313013,apical,85.11536536500697,163.116061
rpl4d-3,rpl4d-3__4.5d-rpl4d-3-2-polygonal-network,4.5d-rpl4d-3-2-polygonal-network.json,56,61,648.548445,935.900324,0.973766327942522,0.9579129212247133,apical,83.54849337960681,174.826395
rpl4d-3,rpl4d-3__4.5d-rpl4d-3-4-polygonal-network,4.5d-rpl4d-3-4-polygonal-network.json,1,3,510.131644,77.0883325,0.5471669486501095,0.010683572290120392,basal,31.220763204404637,170.427221
rpl4d-3,rpl4d-3__4.5d-rpl4d-3-4-polygonal-network,4.5d-rpl4d-3-4-polygonal-network.json,2,8,418.777422,112.1978885,0.3785447968767977,0.06552831886113536,basal,82.21924354225195,175.154737
rpl4d-3,rpl4d-3__4.5d-rpl4d-3-4-polygonal-network,4.5d-rpl4d-3-4-polygonal-network.json,4,5,511.0532745,114.321934,0.5488680995618858,0.06884629693960506,basal,18.698769103923322,150.879998
rpl4d-3,rpl4d-3__4.5d-rpl4d-3-4-polygonal-network,4.5d-rpl4d-3-4-polygonal-network.json,6,17,620.6225485,182.780999,0.7511116997549843,0.1757864151915602,basal,73.24656039830421,171.117467
rpl4d-3,rpl4d-3__4.5d-rpl4d-3-4-polygonal-network,4.5d-rpl4d-3-4-polygonal-network.json,7,11,566.1131985,137.361104,0.650498025996539,0.10483585601738239,basal,83.03797966356608,167.693791
rpl4d-3,rpl4d-3__4.5d-rpl4d-3-4-polygonal-network,4.5d-rpl4d-3-4-polygonal-network.json,9,12,457.7442335,152.881096,0.4504699631036529,0.12907968376684695,basal,67.25918343990482,165.072194
rpl4d-3,rpl4d-3__4.5d-rpl4d-3-4-polygonal-network,4.5d-rpl4d-3-4-polygonal-network.json,10,13,508.221098,163.8774825,0.5436404517840763,0.1462571733024432,basal,16.98981991551382,147.550923
rpl4d-3,rpl4d-3__4.5d-rpl4d-3-4-polygonal-network,4.5d-rpl4d-3-4-polygonal-network.json,14,21,383.326541,204.7952205,0.3131093555188755,0.21017489903127862,basal,70.41492001341095,163.903268
rpl4d-3,rpl4d-3__4.5d-rpl4d-3-4-polygonal-network,4.5d-rpl4d-3-4-polygonal-network.json,15,22,432.7382385,212.38773,0.4043137527849588,0.22203518172370357,basal,61.97988550266824,155.087392
rpl4d-3,rpl4d-3__4.5d-rpl4d-3-4-polygonal-network,4.5d-rpl4d-3-4-polygonal-network.json,16,23,575.5268014999999,216.1150265,0.6678737089047653,0.22785760317322376,basal,68.10704104842172,167.288942
rpl4d-3,rpl4d-3__4.5d-rpl4d-3-4-polygonal-network,4.5d-rpl4d-3-4-polygonal-network.json,18,34,329.4721855,234.307439,0.21370467439997895,0.2562760272933654,basal,87.64115087110068,161.881855
rpl4d-3,rpl4d-3__4.5d-rpl4d-3-4-polygonal-network,4.5d-rpl4d-3-4-polygonal-network.json,19,20,514.1848279999999,208.257797,0.5546483391392446,0.21558380054587634,basal,0.7791314790560536,164.385698
rpl4d-3,rpl4d-3__4.5d-rpl4d-3-4-polygonal-network,4.5d-rpl4d-3-4-polygonal-network.json,24,25,482.8828395,240.922269,0.49687094757376843,0.2666090737995744,basal,5.407968871550685,172.870878
rpl4d-3,rpl4d-3__4.5d-rpl4d-3-4-polygonal-network,4.5d-rpl4d-3-4-polygonal-network.json,26,40,539.614979,278.462224,0.6015874590579741,0.3252503542037557,basal,80.53818363333366,152.639857
rpl4d-3,rpl4d-3__4.5d-rpl4d-3-4-polygonal-network,4.5d-rpl4d-3-4-polygonal-network.json,27,36,344.6518875,274.465993,0.24172345621958263,0.31900782933576155,basal,55.589281110683245,170.832962
rpl4d-3,rpl4d-3__4.5d-rpl4d-3-4-polygonal-network,4.5d-rpl4d-3-4-polygonal-network.json,28,29,291.3394775,270.158159,0.14331910124164826,0.3122785484528019,basal,13.89950346690862,163.56948
rpl4d-3,rpl4d-3__4.5d-rpl4d-3-4-polygonal-network,4.5d-rpl4d-3-4-polygonal-network.json,30,37,609.6142995,281.2744235,0.7307926100293184,0.3296432997848572,basal,66.07719684305836,164.814258
rpl4d-3,rpl4d-3__4.5d-rpl4d-3-4-polygonal-network,4.5d-rpl4d-3-4-polygonal-network.json,31,47,665.580948,323.586794,0.8340961737946645,0.39573958527737063,basal,67.70244629692544,158.21293
