job_index,split_index,split_id,model_name,feature_mode,status,elapsed_seconds,worker_pid,worker_log,summary_json,error
119,14,split_015,xgboost,selected4,succeeded,192.87617877870798,3101778,output/all_satisfying_primordia_splits/split_015/models/selected4/xgboost/worker.log,output/all_satisfying_primordia_splits/split_015/models/selected4/xgboost/training_summary.json,
120,14,split_015,lightgbm,selected4,succeeded,205.6139583811164,3101771,output/all_satisfying_primordia_splits/split_015/models/selected4/lightgbm/worker.log,output/all_satisfying_primordia_splits/split_015/models/selected4/lightgbm/training_summary.json,
121,15,split_016,lr,all,succeeded,204.48757068999112,3101781,output/all_satisfying_primordia_splits/split_016/models/all/lr/worker.log,output/all_satisfying_primordia_splits/split_016/models/all/lr/training_summary.json,
122,15,split_016,svm,all,succeeded,171.4894031174481,3101765,output/all_satisfying_primordia_splits/split_016/models/all/svm/worker.log,output/all_satisfying_primordia_splits/split_016/models/all/svm/training_summary.json,
123,15,split_016,xgboost,all,succeeded,200.23065007478,3101774,output/all_satisfying_primordia_splits/split_016/models/all/xgboost/worker.log,output/all_satisfying_primordia_splits/split_016/models/all/xgboost/training_summary.json,
124,15,split_016,lightgbm,all,succeeded,234.67174416035414,3101788,output/all_satisfying_primordia_splits/split_016/models/all/lightgbm/worker.log,output/all_satisfying_primordia_splits/split_016/models/all/lightgbm/training_summary.json,
125,15,split_016,lr,selected4,succeeded,209.87191970832646,3101785,output/all_satisfying_primordia_splits/split_016/models/selected4/lr/worker.log,output/all_satisfying_primordia_splits/split_016/models/selected4/lr/training_summary.json,
126,15,split_016,svm,selected4,succeeded,169.2318432237953,3101772,output/all_satisfying_primordia_splits/split_016/models/selected4/svm/worker.log,output/all_satisfying_primordia_splits/split_016/models/selected4/svm/training_summary.json,
127,15,split_016,xgboost,selected4,succeeded,190.26120804995298,3101793,output/all_satisfying_primordia_splits/split_016/models/selected4/xgboost/worker.log,output/all_satisfying_primordia_splits/split_016/models/selected4/xgboost/training_summary.json,
128,15,split_016,lightgbm,selected4,succeeded,200.59867124259472,3101775,output/all_satisfying_primordia_splits/split_016/models/selected4/lightgbm/worker.log,output/all_satisfying_primordia_splits/split_016/models/selected4/lightgbm/training_summary.json,
